Mon Dec 14 11:20:24 2020  [INFO]: Returned to client
Mon Dec 14 11:20:24 2020  [INFO]: updated gui
Mon Dec 14 11:20:24 2020  [INFO]: Started reading
Mon Dec 14 11:20:24 2020  [INFO]: hologram updated
Mon Dec 14 11:20:24 2020  [INFO]: photostim sent
Mon Dec 14 11:20:24 2020  [INFO]: Returned to client
Mon Dec 14 11:20:24 2020  [INFO]: updated gui
Mon Dec 14 11:20:25 2020  [INFO]: Started reading
Mon Dec 14 11:20:25 2020  [INFO]: hologram updated
Mon Dec 14 11:20:25 2020  [INFO]: photostim sent
Mon Dec 14 11:20:25 2020  [INFO]: Returned to client
Mon Dec 14 11:20:25 2020  [INFO]: updated gui
Mon Dec 14 11:20:25 2020  [INFO]: Started reading
Mon Dec 14 11:20:25 2020  [INFO]: hologram updated
Mon Dec 14 11:20:26 2020  [INFO]: photostim sent
Mon Dec 14 11:20:26 2020  [INFO]: Returned to client
Mon Dec 14 11:20:26 2020  [INFO]: updated gui
Mon Dec 14 11:20:26 2020  [INFO]: Started reading
Mon Dec 14 11:20:26 2020  [INFO]: hologram updated
Mon Dec 14 11:20:26 2020  [INFO]: photostim sent
Mon Dec 14 11:20:26 2020  [INFO]: Returned to client
Mon Dec 14 11:20:26 2020  [INFO]: updated gui
Mon Dec 14 11:20:27 2020  [INFO]: Started reading
Mon Dec 14 11:20:27 2020  [INFO]: hologram updated
Mon Dec 14 11:20:27 2020  [INFO]: photostim sent
Mon Dec 14 11:20:27 2020  [INFO]: Returned to client
Mon Dec 14 11:20:27 2020  [INFO]: updated gui
Mon Dec 14 11:20:27 2020  [INFO]: Started reading
Mon Dec 14 11:20:27 2020  [INFO]: hologram updated
Mon Dec 14 11:20:28 2020  [INFO]: photostim sent
Mon Dec 14 11:20:28 2020  [INFO]: Returned to client
Mon Dec 14 11:20:28 2020  [INFO]: updated gui
Mon Dec 14 11:20:28 2020  [INFO]: Started reading
Mon Dec 14 11:20:28 2020  [INFO]: hologram updated
Mon Dec 14 11:20:28 2020  [INFO]: photostim sent
Mon Dec 14 11:20:28 2020  [INFO]: Returned to client
Mon Dec 14 11:20:28 2020  [INFO]: updated gui
Mon Dec 14 11:20:29 2020  [INFO]: Started reading
Mon Dec 14 11:20:29 2020  [INFO]: hologram updated
Mon Dec 14 11:20:29 2020  [INFO]: photostim sent
Mon Dec 14 11:20:29 2020  [INFO]: Returned to client
Mon Dec 14 11:20:29 2020  [INFO]: updated gui
Mon Dec 14 11:20:29 2020  [INFO]: Started reading
Mon Dec 14 11:20:29 2020  [INFO]: hologram updated
Mon Dec 14 11:20:29 2020  [INFO]: photostim sent
Mon Dec 14 11:20:29 2020  [INFO]: Returned to client
Mon Dec 14 11:20:29 2020  [INFO]: updated gui
Mon Dec 14 11:20:30 2020  [INFO]: Started reading
Mon Dec 14 11:20:30 2020  [INFO]: hologram updated
Mon Dec 14 11:20:30 2020  [INFO]: photostim sent
Mon Dec 14 11:20:30 2020  [INFO]: Returned to client
Mon Dec 14 11:20:30 2020  [INFO]: updated gui
Mon Dec 14 11:20:31 2020  [INFO]: Started reading
Mon Dec 14 11:20:31 2020  [INFO]: hologram updated
Mon Dec 14 11:20:31 2020  [INFO]: photostim sent
Mon Dec 14 11:20:31 2020  [INFO]: Returned to client
Mon Dec 14 11:20:31 2020  [INFO]: updated gui
Mon Dec 14 11:20:31 2020  [INFO]: Started reading
Mon Dec 14 11:20:31 2020  [INFO]: hologram updated
Mon Dec 14 11:20:31 2020  [INFO]: photostim sent
Mon Dec 14 11:20:31 2020  [INFO]: Returned to client
